Date,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year,Home_Points,Away_Points
2021-06-30,Chelsea,Arsenal,2,4,69,60,22,20,8,6,5,12,Away Team,2021,0,3
2020-11-21,Arsenal,Bayern Munich,2,0,63,37,17,14,4,7,11,8,Home Team,2020,3,0
2019-04-09,Arsenal,Bayern Munich,0,4,67,52,6,17,4,7,8,10,Away Team,2019,0,3
2024-01-15,AC Milan,Liverpool,2,5,70,45,20,22,4,2,7,9,Away Team,2024,0,3
2024-05-22,Paris Saint-Germain,Barcelona,1,4,65,57,20,12,8,7,7,7,Away Team,2024,0,3
2017-10-28,Arsenal,Chelsea,2,4,63,43,14,6,7,6,6,8,Away Team,2017,0,3
2021-07-01,Paris Saint-Germain,Juventus,4,2,50,55,24,8,10,5,6,14,Home Team,2021,3,0
2019-04-07,Arsenal,Chelsea,4,5,56,49,7,5,6,2,11,15,Away Team,2019,0,3
2021-02-08,AC Milan,Juventus,1,2,69,53,7,9,7,2,7,12,Away Team,2021,0,3
2022-01-23,Manchester City,Paris Saint-Germain,3,5,46,43,14,14,4,7,5,5,Away Team,2022,0,3
2021-12-13,AC Milan,Juventus,5,0,42,52,6,8,9,7,6,7,Home Team,2021,3,0
2022-04-23,Manchester City,Liverpool,5,4,52,48,12,7,9,8,10,13,Home Team,2022,3,0
2025-04-11,Manchester City,Barcelona,0,2,58,59,12,24,4,2,9,9,Away Team,2025,0,3
2018-01-11,Paris Saint-Germain,Liverpool,2,4,42,57,15,9,2,2,9,7,Away Team,2018,0,3
2020-05-24,Real Madrid,Bayern Munich,5,1,62,57,8,12,9,3,5,10,Home Team,2020,3,0
2023-11-03,Chelsea,Paris Saint-Germain,0,2,50,42,18,15,10,2,10,12,Away Team,2023,0,3
2017-04-02,Manchester City,Liverpool,5,0,61,49,21,9,8,4,11,7,Home Team,2017,3,0
2022-03-14,Barcelona,Borussia Dortmund,3,1,49,40,7,24,6,9,6,11,Home Team,2022,3,0
2019-03-13,Chelsea,Bayern Munich,0,0,69,32,24,13,3,8,7,15,Draw,2019,1,1
2019-11-04,Liverpool,Chelsea,5,1,70,55,7,22,2,2,12,8,Home Team,2019,3,0
2017-12-12,Juventus,Borussia Dortmund,3,5,68,51,15,7,10,5,10,15,Away Team,2017,0,3
2021-10-06,Juventus,Manchester City,3,2,58,32,9,23,8,5,6,14,Home Team,2021,3,0
2017-01-20,Liverpool,Paris Saint-Germain,2,3,60,53,5,15,9,6,15,5,Away Team,2017,0,3
2020-12-20,Juventus,Manchester City,1,4,59,41,16,21,3,4,10,7,Away Team,2020,0,3
2025-09-03,Paris Saint-Germain,Barcelona,4,1,43,49,8,19,4,6,10,6,Home Team,2025,3,0
2018-10-02,Chelsea,Manchester City,5,0,62,35,17,25,6,5,13,13,Home Team,2018,3,0
2017-07-01,Juventus,Liverpool,5,2,44,34,12,15,9,7,9,15,Home Team,2017,3,0
2021-08-28,Manchester City,Borussia Dortmund,2,0,70,36,12,8,10,4,15,5,Home Team,2021,3,0
2021-01-02,Liverpool,Paris Saint-Germain,1,5,68,49,12,9,6,4,13,7,Away Team,2021,0,3
2017-06-30,Liverpool,Juventus,1,5,64,35,22,14,9,2,13,15,Away Team,2017,0,3
2019-10-31,Juventus,Manchester City,0,2,62,48,17,16,9,4,10,9,Away Team,2019,0,3
2016-03-09,Paris Saint-Germain,Barcelona,5,3,62,37,6,17,3,10,11,7,Home Team,2016,3,0
2020-11-21,Real Madrid,AC Milan,2,2,56,39,21,24,2,6,9,10,Draw,2020,1,1
2021-05-15,Bayern Munich,Bayern Munich,0,1,57,35,9,20,6,4,10,14,Away Team,2021,0,3
2015-01-06,Juventus,Borussia Dortmund,5,2,70,50,7,15,10,5,14,7,Home Team,2015,3,0
2017-10-11,AC Milan,Manchester City,2,0,40,37,10,18,3,10,13,15,Home Team,2017,3,0
2020-10-25,Juventus,Barcelona,1,4,70,49,6,5,4,3,13,13,Away Team,2020,0,3
2020-11-21,AC Milan,Juventus,2,5,63,34,18,5,8,2,5,10,Away Team,2020,0,3
2017-03-17,Manchester City,Chelsea,2,2,50,60,9,11,6,9,12,12,Draw,2017,1,1
2022-12-04,Barcelona,Arsenal,5,1,52,38,9,8,2,8,5,15,Home Team,2022,3,0
2019-01-31,Bayern Munich,Paris Saint-Germain,0,4,68,49,9,7,7,8,11,13,Away Team,2019,0,3
2025-10-10,Barcelona,Arsenal,4,1,57,49,7,12,9,2,14,11,Home Team,2025,3,0
2015-04-06,Manchester City,Paris Saint-Germain,0,0,67,50,11,20,4,2,12,13,Draw,2015,1,1
2016-02-01,Liverpool,Barcelona,4,5,46,38,16,16,2,5,7,15,Away Team,2016,0,3
2025-03-05,Bayern Munich,Paris Saint-Germain,0,2,67,41,17,11,6,7,8,5,Away Team,2025,0,3
2015-07-18,AC Milan,Borussia Dortmund,5,2,66,54,16,8,8,3,6,15,Home Team,2015,3,0
2015-01-25,Manchester City,Paris Saint-Germain,2,0,67,52,19,12,2,3,7,10,Home Team,2015,3,0
2017-04-03,Paris Saint-Germain,Bayern Munich,5,2,58,38,7,6,8,3,14,12,Home Team,2017,3,0
2018-08-24,Paris Saint-Germain,AC Milan,4,2,61,39,19,5,2,6,9,9,Home Team,2018,3,0
2019-01-05,Barcelona,Paris Saint-Germain,5,5,70,60,21,24,9,9,9,10,Draw,2019,1,1
2021-03-15,AC Milan,Barcelona,1,2,64,38,25,5,2,10,15,9,Away Team,2021,0,3
2025-04-29,Liverpool,Paris Saint-Germain,1,3,42,50,8,20,9,5,10,10,Away Team,2025,0,3
2017-04-21,Juventus,Bayern Munich,1,4,44,40,21,21,5,8,15,13,Away Team,2017,0,3
2018-02-14,Chelsea,Paris Saint-Germain,1,1,65,35,7,8,3,5,5,11,Draw,2018,1,1
2020-07-31,Paris Saint-Germain,Manchester City,2,2,68,60,14,12,5,10,12,5,Draw,2020,1,1
2016-03-24,Juventus,AC Milan,0,4,62,55,23,9,9,6,7,12,Away Team,2016,0,3
2024-09-21,AC Milan,AC Milan,2,4,63,43,23,16,7,4,9,13,Away Team,2024,0,3
2023-10-13,Real Madrid,Paris Saint-Germain,1,3,55,47,17,16,4,9,10,10,Away Team,2023,0,3
2018-06-23,Barcelona,Manchester City,4,1,41,36,24,12,3,8,15,7,Home Team,2018,3,0
2017-03-03,Manchester City,AC Milan,3,0,59,51,18,5,6,9,6,14,Home Team,2017,3,0
2018-07-25,Bayern Munich,Bayern Munich,3,0,48,49,22,13,3,7,7,13,Home Team,2018,3,0
2020-08-07,Paris Saint-Germain,AC Milan,0,5,47,32,15,25,6,8,5,6,Away Team,2020,0,3
2023-06-30,Arsenal,Borussia Dortmund,3,2,47,31,18,18,10,2,15,6,Home Team,2023,3,0
2023-01-13,Chelsea,Liverpool,4,0,62,45,23,6,7,6,15,8,Home Team,2023,3,0
2024-12-24,AC Milan,Arsenal,3,4,42,55,25,22,9,10,11,7,Away Team,2024,0,3
2022-02-11,Chelsea,Manchester City,4,1,58,40,20,14,7,2,8,14,Home Team,2022,3,0
2021-02-05,Chelsea,Chelsea,1,4,52,43,11,6,2,9,14,10,Away Team,2021,0,3
2025-06-24,Paris Saint-Germain,AC Milan,4,5,51,45,25,23,5,3,15,6,Away Team,2025,0,3
2017-10-16,AC Milan,Borussia Dortmund,1,4,57,50,15,20,5,6,12,10,Away Team,2017,0,3
2019-11-29,Real Madrid,Paris Saint-Germain,0,0,46,30,9,6,2,4,14,6,Draw,2019,1,1
2020-07-22,Juventus,Borussia Dortmund,5,2,63,32,25,10,8,2,6,8,Home Team,2020,3,0
2018-12-31,Arsenal,AC Milan,0,2,47,39,8,12,7,8,15,14,Away Team,2018,0,3
2019-09-11,Barcelona,Arsenal,0,0,49,40,6,12,2,9,12,14,Draw,2019,1,1
2022-06-09,Bayern Munich,Liverpool,3,0,45,57,6,23,2,6,6,10,Home Team,2022,3,0
2015-06-16,Liverpool,Arsenal,3,4,70,43,9,12,4,9,14,8,Away Team,2015,0,3
2017-05-10,Juventus,Chelsea,1,0,49,49,22,19,2,10,7,12,Home Team,2017,3,0
2023-07-17,Barcelona,Juventus,4,5,50,37,19,10,2,10,11,8,Away Team,2023,0,3
2015-01-13,Chelsea,Liverpool,4,0,58,30,11,11,2,8,8,10,Home Team,2015,3,0
2018-05-07,Paris Saint-Germain,Barcelona,4,2,67,56,8,5,10,4,10,15,Home Team,2018,3,0
2017-11-28,Real Madrid,Arsenal,3,2,69,56,17,15,9,2,11,14,Home Team,2017,3,0
2021-11-09,Manchester City,Manchester City,1,1,52,47,10,12,7,5,5,14,Draw,2021,1,1
2025-12-23,Liverpool,Juventus,5,3,69,32,23,5,9,4,6,15,Home Team,2025,3,0
2018-06-18,Paris Saint-Germain,Chelsea,3,1,49,43,5,5,2,5,11,10,Home Team,2018,3,0
2022-11-08,Bayern Munich,Bayern Munich,2,4,66,45,15,24,5,6,14,15,Away Team,2022,0,3
2020-02-04,Manchester City,AC Milan,2,0,64,53,8,9,3,8,9,12,Home Team,2020,3,0
2023-02-25,Barcelona,Manchester City,0,1,48,52,8,21,10,7,13,10,Away Team,2023,0,3
2017-11-16,Liverpool,Chelsea,5,5,45,35,19,15,2,2,11,6,Draw,2017,1,1
2024-08-06,Real Madrid,Borussia Dortmund,0,0,60,31,20,24,9,2,5,11,Draw,2024,1,1
2022-03-19,Juventus,Manchester City,0,1,49,48,11,9,5,8,6,5,Away Team,2022,0,3
2021-11-10,Arsenal,Bayern Munich,3,5,41,30,14,10,8,2,6,10,Away Team,2021,0,3
2022-03-15,Bayern Munich,Juventus,4,3,61,30,22,7,9,7,15,9,Home Team,2022,3,0
2016-10-15,AC Milan,Arsenal,0,2,70,51,12,11,9,8,15,5,Away Team,2016,0,3
2023-11-25,Manchester City,Borussia Dortmund,1,5,52,54,6,12,4,4,12,8,Away Team,2023,0,3
2023-11-04,Juventus,Arsenal,1,3,65,31,18,6,6,2,13,14,Away Team,2023,0,3
2019-01-20,Arsenal,Chelsea,4,0,53,36,15,8,6,2,8,11,Home Team,2019,3,0
2024-06-02,Paris Saint-Germain,Manchester City,1,1,68,44,17,8,6,2,9,13,Draw,2024,1,1
2015-06-05,Manchester City,Paris Saint-Germain,5,3,70,37,24,16,6,5,6,7,Home Team,2015,3,0
2025-06-23,Real Madrid,Paris Saint-Germain,2,1,44,45,13,19,3,8,8,12,Home Team,2025,3,0
2016-03-01,Chelsea,AC Milan,3,1,41,57,16,19,3,9,9,9,Home Team,2016,3,0
2025-04-25,Arsenal,Bayern Munich,1,3,49,35,11,25,4,9,10,10,Away Team,2025,0,3
2019-06-07,Real Madrid,Juventus,0,4,59,60,23,16,6,4,9,7,Away Team,2019,0,3
2016-11-29,Liverpool,Manchester City,4,1,58,37,22,17,5,5,7,8,Home Team,2016,3,0
2024-02-18,Real Madrid,Borussia Dortmund,3,0,41,35,22,6,9,5,10,5,Home Team,2024,3,0
2019-11-04,Barcelona,AC Milan,1,0,47,33,16,19,7,3,14,7,Home Team,2019,3,0
2021-06-29,Barcelona,Paris Saint-Germain,1,1,64,54,15,9,5,5,15,8,Draw,2021,1,1
2018-10-27,Arsenal,Chelsea,1,4,50,59,8,21,6,9,5,6,Away Team,2018,0,3
2025-05-29,Real Madrid,Manchester City,3,0,66,34,20,9,4,8,15,7,Home Team,2025,3,0
2024-04-02,Juventus,Liverpool,2,0,67,49,21,25,10,4,9,12,Home Team,2024,3,0
2021-04-21,Bayern Munich,Manchester City,3,2,69,33,15,20,7,5,14,14,Home Team,2021,3,0
2020-08-01,Chelsea,Borussia Dortmund,4,4,49,47,19,8,9,3,11,10,Draw,2020,1,1
2024-07-18,AC Milan,Borussia Dortmund,1,1,65,44,24,9,2,8,15,8,Draw,2024,1,1
2019-06-25,AC Milan,Borussia Dortmund,2,0,53,58,13,12,5,4,7,9,Home Team,2019,3,0
2024-05-20,Chelsea,Paris Saint-Germain,5,2,42,41,7,15,3,4,7,12,Home Team,2024,3,0
2023-08-06,Chelsea,Paris Saint-Germain,2,0,42,50,20,12,9,7,14,14,Home Team,2023,3,0
2023-08-07,Real Madrid,Borussia Dortmund,1,0,62,60,18,18,5,4,11,14,Home Team,2023,3,0
2024-09-29,Paris Saint-Germain,Liverpool,1,4,69,42,25,13,2,4,13,11,Away Team,2024,0,3
2017-09-14,Liverpool,Bayern Munich,5,3,58,40,13,14,8,9,13,13,Home Team,2017,3,0
2022-03-25,Real Madrid,AC Milan,0,3,47,49,23,7,2,6,14,9,Away Team,2022,0,3
2015-02-25,Bayern Munich,Manchester City,2,3,63,57,25,8,5,3,6,11,Away Team,2015,0,3
2017-02-21,Liverpool,Paris Saint-Germain,5,2,40,52,18,24,9,10,7,13,Home Team,2017,3,0
2016-07-25,Paris Saint-Germain,Manchester City,1,0,66,54,9,9,7,6,15,7,Home Team,2016,3,0
2017-01-15,Real Madrid,Chelsea,3,2,66,54,22,20,10,9,5,8,Home Team,2017,3,0
2015-04-06,Real Madrid,AC Milan,4,1,70,48,16,24,5,3,15,7,Home Team,2015,3,0
2023-03-19,Paris Saint-Germain,Barcelona,3,0,70,40,23,8,10,10,11,12,Home Team,2023,3,0
2025-01-27,Juventus,AC Milan,5,3,51,48,15,5,10,5,8,10,Home Team,2025,3,0
2023-05-14,Bayern Munich,Paris Saint-Germain,3,0,67,31,21,16,9,2,8,11,Home Team,2023,3,0
2018-03-21,Bayern Munich,Paris Saint-Germain,0,4,63,54,22,9,9,3,9,5,Away Team,2018,0,3
2015-09-23,AC Milan,Barcelona,1,4,57,42,13,15,9,8,9,15,Away Team,2015,0,3
2021-07-16,Barcelona,Barcelona,4,5,57,37,19,10,7,5,12,6,Away Team,2021,0,3
2021-11-19,Manchester City,Arsenal,5,3,65,31,5,18,7,10,12,10,Home Team,2021,3,0
2015-11-09,Chelsea,Bayern Munich,0,3,68,56,19,11,8,4,12,14,Away Team,2015,0,3
2018-09-08,Barcelona,Paris Saint-Germain,4,2,47,33,12,10,6,2,15,11,Home Team,2018,3,0
2023-06-04,Chelsea,Arsenal,4,5,55,60,8,13,2,8,12,9,Away Team,2023,0,3
2016-02-08,AC Milan,Arsenal,4,5,48,46,23,14,8,7,5,15,Away Team,2016,0,3
2022-11-27,Real Madrid,Manchester City,3,0,56,46,17,5,9,5,9,8,Home Team,2022,3,0
2020-12-22,AC Milan,Arsenal,4,5,55,38,23,11,6,4,5,5,Away Team,2020,0,3
2020-02-15,Arsenal,Barcelona,2,4,44,56,15,9,6,10,12,13,Away Team,2020,0,3
2024-01-09,Barcelona,Chelsea,5,5,56,36,15,17,4,6,5,5,Draw,2024,1,1
2019-11-10,Barcelona,Manchester City,3,3,52,31,14,20,9,10,7,13,Draw,2019,1,1
2023-10-13,Bayern Munich,Barcelona,2,1,62,60,6,11,4,10,14,6,Home Team,2023,3,0
2023-08-14,Chelsea,Barcelona,4,1,62,35,16,6,8,9,7,11,Home Team,2023,3,0
2025-10-01,Bayern Munich,Borussia Dortmund,0,0,60,39,19,16,7,5,9,15,Draw,2025,1,1
2016-12-24,Paris Saint-Germain,Barcelona,4,0,44,59,12,11,8,6,5,10,Home Team,2016,3,0
2023-05-24,Chelsea,Liverpool,3,2,42,33,23,11,9,10,15,15,Home Team,2023,3,0
2024-01-28,Arsenal,Manchester City,0,4,62,38,25,19,7,3,14,12,Away Team,2024,0,3
2025-01-12,Barcelona,Liverpool,5,1,42,45,16,6,7,10,6,7,Home Team,2025,3,0
2017-02-06,AC Milan,Chelsea,3,3,57,51,23,25,4,5,5,10,Draw,2017,1,1
2016-05-16,Paris Saint-Germain,Borussia Dortmund,3,3,51,52,12,20,4,8,14,10,Draw,2016,1,1
2019-12-18,Bayern Munich,Manchester City,1,5,59,40,6,7,7,2,11,5,Away Team,2019,0,3
2023-06-29,Manchester City,Arsenal,0,3,56,54,16,9,10,4,13,13,Away Team,2023,0,3
2024-04-03,Arsenal,Juventus,5,4,67,41,8,25,7,4,10,15,Home Team,2024,3,0
2020-05-11,Paris Saint-Germain,Arsenal,5,0,53,35,6,5,8,8,11,15,Home Team,2020,3,0
2024-08-07,AC Milan,Barcelona,4,3,70,33,17,16,2,3,10,7,Home Team,2024,3,0
2021-11-18,Bayern Munich,Paris Saint-Germain,3,2,65,53,13,11,4,4,15,12,Home Team,2021,3,0
2020-01-17,AC Milan,AC Milan,0,0,52,57,8,22,4,7,14,15,Draw,2020,1,1
2015-04-12,Arsenal,Borussia Dortmund,5,1,46,48,16,21,2,6,9,13,Home Team,2015,3,0
2025-10-06,Real Madrid,AC Milan,5,5,67,34,7,13,7,3,11,13,Draw,2025,1,1
2019-02-06,Real Madrid,Paris Saint-Germain,0,2,64,39,12,19,2,8,15,13,Away Team,2019,0,3
2019-11-10,AC Milan,Bayern Munich,5,2,51,52,9,11,7,2,8,5,Home Team,2019,3,0
2024-08-21,Paris Saint-Germain,Borussia Dortmund,2,2,69,52,25,20,5,10,6,8,Draw,2024,1,1
2017-03-29,Manchester City,Liverpool,2,4,63,51,16,11,7,4,8,9,Away Team,2017,0,3
2019-01-15,Liverpool,Juventus,5,4,51,46,10,20,7,7,10,11,Home Team,2019,3,0
2018-07-12,Liverpool,Barcelona,3,3,47,58,22,12,4,9,6,9,Draw,2018,1,1
2025-12-15,Chelsea,Manchester City,5,0,63,35,18,21,4,10,9,6,Home Team,2025,3,0
2015-04-07,Chelsea,Barcelona,2,2,63,54,7,19,8,9,11,13,Draw,2015,1,1
2017-01-16,Bayern Munich,Liverpool,2,5,44,38,7,19,6,9,7,15,Away Team,2017,0,3
2024-04-30,Juventus,Liverpool,1,4,46,38,15,20,4,8,6,9,Away Team,2024,0,3
2017-03-05,AC Milan,Barcelona,4,4,64,42,11,5,3,4,6,7,Draw,2017,1,1
2016-08-26,Bayern Munich,Chelsea,1,3,42,32,11,24,6,8,8,8,Away Team,2016,0,3
2025-05-18,Liverpool,Arsenal,4,3,43,53,5,11,9,4,8,12,Home Team,2025,3,0
2022-08-01,Bayern Munich,Liverpool,2,4,44,59,6,8,9,3,12,12,Away Team,2022,0,3
2015-05-26,Manchester City,Bayern Munich,0,0,60,59,19,19,10,7,11,11,Draw,2015,1,1
2021-05-14,Liverpool,Juventus,0,4,68,51,19,17,2,6,14,7,Away Team,2021,0,3
2015-05-10,Real Madrid,Paris Saint-Germain,4,2,43,48,13,21,5,7,15,15,Home Team,2015,3,0
2024-02-10,Real Madrid,Manchester City,1,1,70,57,8,7,4,7,12,15,Draw,2024,1,1
2020-11-30,Real Madrid,AC Milan,5,3,62,57,16,14,7,2,5,10,Home Team,2020,3,0
2017-02-12,Chelsea,Paris Saint-Germain,4,2,57,37,20,6,8,5,10,14,Home Team,2017,3,0
2015-03-13,Bayern Munich,Manchester City,4,5,52,54,21,15,9,10,9,10,Away Team,2015,0,3
2023-12-18,Barcelona,Arsenal,0,0,44,38,21,6,5,5,5,6,Draw,2023,1,1
2018-09-29,AC Milan,Chelsea,3,1,43,48,14,8,4,10,7,5,Home Team,2018,3,0
2022-05-16,Juventus,Borussia Dortmund,4,5,55,52,9,23,4,4,15,8,Away Team,2022,0,3
2024-02-27,Arsenal,Juventus,0,5,63,55,20,13,10,2,14,6,Away Team,2024,0,3
2025-09-02,Bayern Munich,Juventus,0,0,68,39,11,5,2,10,5,6,Draw,2025,1,1
2020-11-29,Manchester City,Arsenal,1,0,45,54,24,6,10,10,8,13,Home Team,2020,3,0
2015-09-14,Bayern Munich,Liverpool,2,1,65,58,13,21,10,9,8,7,Home Team,2015,3,0
2019-06-30,AC Milan,Chelsea,3,5,52,49,5,9,6,7,6,10,Away Team,2019,0,3
2024-07-03,Barcelona,Paris Saint-Germain,3,0,62,38,21,17,9,9,13,10,Home Team,2024,3,0
2024-04-13,Bayern Munich,Arsenal,2,1,42,56,24,23,2,5,7,13,Home Team,2024,3,0
2019-10-17,AC Milan,Chelsea,2,0,40,43,18,10,2,7,10,7,Home Team,2019,3,0
2025-01-08,Bayern Munich,Arsenal,0,4,49,44,13,21,9,9,5,14,Away Team,2025,0,3
2016-05-24,Barcelona,Arsenal,0,5,60,59,15,7,3,8,11,6,Away Team,2016,0,3
2021-01-08,AC Milan,Bayern Munich,2,3,70,33,9,14,7,10,15,11,Away Team,2021,0,3
2019-09-11,Liverpool,Chelsea,1,0,59,58,6,10,7,4,6,11,Home Team,2019,3,0
2016-04-01,Liverpool,Liverpool,0,4,64,41,5,18,3,9,10,7,Away Team,2016,0,3
2015-12-17,Paris Saint-Germain,Paris Saint-Germain,0,2,69,32,18,14,3,5,12,15,Away Team,2015,0,3
2015-08-22,Manchester City,Bayern Munich,2,3,68,58,22,5,4,8,7,14,Away Team,2015,0,3
2016-11-10,AC Milan,AC Milan,1,3,65,46,14,25,6,4,9,15,Away Team,2016,0,3
2024-08-10,Paris Saint-Germain,Manchester City,5,4,44,56,19,16,8,6,6,14,Home Team,2024,3,0
2017-03-17,Bayern Munich,Liverpool,3,5,42,52,12,8,2,7,8,12,Away Team,2017,0,3
2025-09-22,Barcelona,Borussia Dortmund,2,0,51,47,23,10,9,7,12,14,Home Team,2025,3,0
2017-07-27,Real Madrid,Barcelona,0,4,65,41,19,9,4,7,15,14,Away Team,2017,0,3
2023-02-03,Chelsea,AC Milan,4,2,63,52,23,25,2,4,12,7,Home Team,2023,3,0
2016-07-01,Arsenal,Borussia Dortmund,3,3,47,56,22,10,3,8,15,14,Draw,2016,1,1
2015-10-02,Chelsea,Barcelona,4,2,46,48,23,15,8,4,10,8,Home Team,2015,3,0
2024-03-14,Paris Saint-Germain,Bayern Munich,3,3,67,40,25,9,7,3,8,7,Draw,2024,1,1
2022-08-08,Manchester City,Arsenal,5,0,56,59,12,8,3,7,11,10,Home Team,2022,3,0
2020-09-15,Barcelona,Manchester City,2,3,57,38,22,7,4,4,10,7,Away Team,2020,0,3
2021-04-01,Juventus,Barcelona,4,5,47,41,12,21,8,3,10,11,Away Team,2021,0,3
2025-01-04,Manchester City,Chelsea,4,4,45,57,18,13,3,8,13,15,Draw,2025,1,1
2024-05-30,Bayern Munich,Barcelona,5,2,66,57,5,5,2,8,8,7,Home Team,2024,3,0
2019-06-09,AC Milan,Liverpool,3,1,49,55,12,19,2,5,6,13,Home Team,2019,3,0
2015-08-06,Bayern Munich,Barcelona,4,5,69,46,10,12,4,8,8,5,Away Team,2015,0,3
2019-10-02,Barcelona,Barcelona,3,3,41,43,17,18,6,8,5,13,Draw,2019,1,1
2021-08-26,Chelsea,Arsenal,4,5,46,58,11,8,3,5,6,5,Away Team,2021,0,3
2015-08-31,Paris Saint-Germain,Bayern Munich,1,0,59,35,8,11,2,6,8,7,Home Team,2015,3,0
2023-07-13,Juventus,AC Milan,5,2,52,40,15,16,5,2,11,11,Home Team,2023,3,0
2018-09-19,Barcelona,Manchester City,4,4,67,36,18,14,2,4,14,5,Draw,2018,1,1
2019-02-14,Bayern Munich,Arsenal,1,1,67,46,8,16,2,4,5,9,Draw,2019,1,1
2025-12-13,Arsenal,Juventus,2,4,61,39,6,25,9,3,13,6,Away Team,2025,0,3
2017-12-14,Chelsea,Liverpool,0,0,55,30,21,16,5,9,11,8,Draw,2017,1,1
2025-03-11,Arsenal,Borussia Dortmund,0,3,63,51,19,16,8,6,12,14,Away Team,2025,0,3
2020-11-18,Liverpool,Paris Saint-Germain,0,3,48,58,23,22,7,5,6,15,Away Team,2020,0,3
2025-07-05,Arsenal,AC Milan,4,3,67,43,13,6,10,9,6,13,Home Team,2025,3,0
2016-03-21,Paris Saint-Germain,AC Milan,1,1,61,55,16,8,8,3,10,7,Draw,2016,1,1
2020-11-15,Juventus,AC Milan,4,3,40,55,22,14,7,9,14,12,Home Team,2020,3,0
2018-03-04,Barcelona,Borussia Dortmund,5,5,41,37,12,22,5,2,8,9,Draw,2018,1,1
2015-12-10,Arsenal,Barcelona,5,4,64,51,17,17,7,8,7,8,Home Team,2015,3,0
2017-11-19,Manchester City,Bayern Munich,3,1,47,58,7,10,4,8,5,14,Home Team,2017,3,0
2021-11-13,Arsenal,Borussia Dortmund,1,0,48,52,14,9,5,6,9,15,Home Team,2021,3,0
2018-06-23,Bayern Munich,Liverpool,3,1,45,45,24,24,2,6,9,15,Home Team,2018,3,0
2021-07-12,Bayern Munich,AC Milan,4,5,44,36,5,25,8,4,13,15,Away Team,2021,0,3
2015-04-07,Barcelona,Bayern Munich,5,5,48,36,24,12,10,8,8,15,Draw,2015,1,1
2017-05-30,Real Madrid,Barcelona,2,5,54,41,12,15,9,7,14,9,Away Team,2017,0,3
2015-06-08,Manchester City,Arsenal,2,1,45,56,17,11,6,4,6,12,Home Team,2015,3,0
2016-07-25,Juventus,Paris Saint-Germain,4,2,57,51,12,19,4,6,15,6,Home Team,2016,3,0
2017-09-02,Manchester City,Borussia Dortmund,3,0,59,38,11,9,10,9,11,11,Home Team,2017,3,0
2019-09-23,Paris Saint-Germain,Arsenal,2,2,50,57,9,19,8,7,7,11,Draw,2019,1,1
2017-09-03,Real Madrid,Juventus,3,4,63,47,18,6,8,8,14,6,Away Team,2017,0,3
2021-08-09,Arsenal,Bayern Munich,4,0,67,47,10,25,2,8,10,15,Home Team,2021,3,0
2024-01-14,Paris Saint-Germain,Manchester City,4,5,60,38,18,18,4,3,10,10,Away Team,2024,0,3
2021-10-24,Juventus,Paris Saint-Germain,3,0,54,31,23,6,9,4,6,13,Home Team,2021,3,0
2020-03-04,Juventus,Paris Saint-Germain,3,3,63,52,22,20,6,10,9,9,Draw,2020,1,1
2015-06-19,Barcelona,Arsenal,3,3,70,47,5,21,8,9,6,11,Draw,2015,1,1
2020-10-29,Barcelona,Manchester City,5,5,45,54,9,20,9,9,10,14,Draw,2020,1,1
2018-05-21,Paris Saint-Germain,Arsenal,0,2,40,30,15,12,3,4,8,8,Away Team,2018,0,3
2018-10-23,Chelsea,AC Milan,5,3,51,37,19,13,10,4,11,13,Home Team,2018,3,0
2022-01-14,Chelsea,Paris Saint-Germain,0,4,65,44,15,24,8,4,15,12,Away Team,2022,0,3
2023-09-19,Manchester City,Paris Saint-Germain,2,3,50,31,24,17,2,9,12,9,Away Team,2023,0,3
2020-05-03,Chelsea,Liverpool,5,1,44,35,13,22,6,9,7,9,Home Team,2020,3,0
2019-11-14,Real Madrid,AC Milan,3,3,54,49,6,5,8,10,13,12,Draw,2019,1,1
2025-11-01,Juventus,Juventus,5,2,59,39,14,6,7,8,5,13,Home Team,2025,3,0
2018-05-20,Real Madrid,Arsenal,5,3,56,43,21,8,7,6,11,13,Home Team,2018,3,0
2017-06-26,Paris Saint-Germain,Borussia Dortmund,3,2,53,39,6,8,6,9,10,14,Home Team,2017,3,0
2015-10-23,Juventus,Manchester City,2,0,67,36,18,22,9,6,11,12,Home Team,2015,3,0
2024-01-19,AC Milan,Paris Saint-Germain,1,1,42,33,25,5,5,7,14,7,Draw,2024,1,1
2025-04-16,AC Milan,Chelsea,5,1,44,56,9,19,7,6,5,7,Home Team,2025,3,0
2020-09-09,Arsenal,Manchester City,2,4,44,53,22,22,10,9,8,13,Away Team,2020,0,3
2021-12-07,Paris Saint-Germain,Arsenal,4,1,48,32,9,13,8,8,6,10,Home Team,2021,3,0
2019-05-13,AC Milan,Arsenal,1,3,61,36,15,11,9,3,14,12,Away Team,2019,0,3
2016-12-19,Barcelona,Juventus,0,1,50,45,6,5,10,9,6,14,Away Team,2016,0,3
2020-07-02,Manchester City,Manchester City,1,5,57,38,5,23,7,8,14,8,Away Team,2020,0,3
2024-02-05,Arsenal,Barcelona,2,5,59,57,8,10,6,6,8,13,Away Team,2024,0,3
2024-06-30,Liverpool,Barcelona,2,1,66,42,13,11,7,10,11,8,Home Team,2024,3,0
